lookup_doi,lookup_title,audit_result,new_ec,note
10.1145/2600821.2600842,Agile Development with Software Process Mining,wrong_pdf,EC5,OA URL resolves to a different paper (Identifying Agile Requirements Engineering Patterns in Industry); target full text remains unavailable.
10.1007/978-3-031-08246-7_2,An Approach Based on Process Mining Techniques to Support Software Development,wrong_pdf,EC5,"Downloaded PDF is TLAD 2010 workshop front matter, not the target chapter; target full text remains unavailable."
10.1007/978-3-031-96841-9_2,Analyzing Side-Tracking of Developers Using Object-Centric Process Mining,wrong_pdf,EC5,OA URL resolves to an unrelated TUI survey; target full text remains unavailable.
10.1007/s10489-022-04341-2,Concept drift detection and localization framework based on behavior replacement,wrong_pdf,EC5,Recovered PDF is an unrelated aircraft prognostics paper; target full text remains unavailable.
10.1007/s10515-024-00441-0,Extracting high-level activities from low-level program execution logs,wrong_pdf,EC5,"Recovered PDF is Artifact Lifecycle Discovery, not the target paper; target full text remains unavailable."
10.1007/s10270-025-01346-6,"Interactive creation, visualization, and exploration of process model collections",wrong_pdf,EC5,"Recovered PDF is about XML document collections, not the target process-model paper; target full text remains unavailable."
10.1007/s41870-023-01476-4,The use of knapsack 0/1 in prioritizing software requirements and Markov chain to predict software success,wrong_pdf,EC5,Recovered PDF is Quayside Operations Planning Under Uncertainty; target full text remains unavailable.
10.1007/978-3-319-29504-6_4,Introduction to integration of the process mining to the knowledge framework for software processes,wrong_pdf,EC5,Recovered PDF is an unrelated decision-support integration paper; target full text remains unavailable.
10.1007/978-3-540-68255-4_17,Agile estimation with monte carlo simulation,wrong_pdf,EC5,Recovered PDF is an unrelated psychometrics paper; target full text remains unavailable.
10.1016/S0950-5849(00)00122-1,A Markov chain model for predicting the reliability of multi-build software,wrong_pdf,EC5,"Recovered PDF is about AUV reliability, not software builds; target full text remains unavailable."
10.1007/3-540-46043-8_105,A collection of java class libraries for stochastic modeling and simulation,correct_pdf_exclude,EC3,"PDF matches target. Generic library/tool paper for stochastic modeling and simulation, without software-development process analysis, process mining, or empirical SE evaluation."
10.1007/3-540-45314-8_2,Metamodelling and conformance checking with PVS,correct_pdf_exclude,EC3,"PDF matches target. Formal metamodel/PVS conformance paper, not SDLC process mining or stochastic/process forecasting in software development."
10.1007/978-3-540-71209-1_7,PReMo: An analyzer for probabilistic recursive models,correct_pdf_exclude,EC3,PDF matches target. Theoretical analyzer for recursive probabilistic models without software-development process application or empirical SE evaluation.
,Fourth Annual Workshop on Data-Driven Knowledge Mobilization,wrong_pdf,EC5,Recovered PDF is an unrelated anti-corruption report; target full text remains unavailable.
,"8th International Conference on Software Quality Days, SWQD 2016",wrong_pdf,EC5,Recovered PDF is an unrelated review article on agile effort estimation; target full text remains unavailable.
,"4th International Conference on Fundamental Approaches to Software Engineering, FASE 2001 Held as Part of the Joint European Conferences on Theory and Practice of Software, ETAPS 2001",wrong_pdf,EC5,Recovered PDF is an unrelated French paper on runtime verification with a debugger; target full text remains unavailable.
,"2014 International Conference on Software and Systems Process, ICSSP 2014 - Proceedings",wrong_pdf,EC5,Recovered PDF is a workshop preprint unrelated to the target proceedings record; target full text remains unavailable.
